Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;déc-22;13 048 505
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;janv-23;14 246 651
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;févr-23;14 074 701
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;mars-23;13 552 664
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;avr-23;13 727 360
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;mai-23;13 628 404
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;juin-23;14 192 892
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;juil-23;13 873 483
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;août-23;13 595 491
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;sept-23;14 212 246
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;oct-23;14 206 906
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;nov-23;14 142 663
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;déc-23;14 241 231
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;janv-24;14 085 970
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;févr-24;14 227 989
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;mars-24;14 297 830
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;avr-24;13 968 656
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;mai-24;14 028 461
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;juin-24;13 730 481
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;juil-24;14 271 551
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;août-24;14 692 507
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;sept-24;14 695 356
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;oct-24;15 159 077
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;nov-24;15 753 254
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;déc-24;15 804 313
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;janv-25;15 279 587
Canada;Concessionnaires d'automobiles neuves  [44111];Désaisonnalisées;févr-25;14 815 305
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;févr-22;1 472 266B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;mars-22;1 278 311B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;avr-22;1 302 185C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;mai-22;1 319 131B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;juin-22;1 330 967B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;juil-22;1 343 144C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;août-22;1 372 354C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;sept-22;1 350 173C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;oct-22;1 397 485C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;nov-22;1 442 630C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;déc-22;1 321 504B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;janv-23;1 253 547C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;févr-23;1 373 012B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;mars-23;1 388 376B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;avr-23;1 395 492
