Date_UTC,Date_Local,LocalDate,Home Team,Away Team,Home Score,Away Score,Result,Season,weight,Played,Home Team Rank,Away Team Rank,Date,Home Win,Home Last 10 Wins,Away Last 10 Wins,Home Played Yesterday,Away Played Yesterday,Home Win Rate,Away Win Rate,Home Team Overall Win Streak Before Game,Away Team Overall Win Streak Before Game,Home Opponent Strength,Away Opponent Strength,Home Rest Days Since Last Game,Away Rest Days Since Last Game
2024-10-16 02:00:00+00:00,2024-10-15 22:00:00-04:00,2024-10-15,Edmonton Oilers,Philadelphia Flyers,4,3,4 - 3,2024-2025,1.0,True,13.0,15.0,2024-10-15 22:00:00,True,0,1,False,False,0.0,0.5,0,0,20.0,26.5,2.0,3.0
2024-10-16 23:00:00+00:00,2024-10-16 19:00:00-04:00,2024-10-16,Pittsburgh Penguins,Buffalo Sabres,6,5,6 - 5,2024-2025,1.0,True,2.0,28.0,2024-10-16 19:00:00,True,2,1,False,False,0.0,0.0,1,1,17.666666666666668,13.25,1.0,4.0
2024-10-16 23:30:00+00:00,2024-10-16 19:30:00-04:00,2024-10-16,Toronto Maple Leafs,Los Angeles Kings,6,2,6 - 2,2024-2025,1.0,True,26.0,12.0,2024-10-16 19:30:00,True,2,1,False,False,1.0,0.3333333333333333,2,0,4.5,20.333333333333332,4.0,2.0
2024-10-17 01:30:00+00:00,2024-10-16 21:30:00-04:00,2024-10-16,Colorado Avalanche,Boston Bruins,3,5,3 - 5,2024-2025,1.0,True,3.0,19.0,2024-10-16 21:30:00,False,0,2,False,False,0.0,0.0,0,0,19.333333333333332,22.0,2.0,2.0
2024-10-17 23:00:00+00:00,2024-10-17 19:00:00-04:00,2024-10-17,Columbus Blue Jackets,Buffalo Sabres,6,4,6 - 4,2024-2025,1.0,True,24.0,28.0,2024-10-17 19:00:00,True,1,1,False,True,0.0,0.0,0,0,20.0,11.0,2.0,1.0
2024-10-17 23:00:00+00:00,2024-10-17 19:00:00-04:00,2024-10-17,Washington Capitals,Dallas Stars,3,2,3 - 2,2024-2025,1.0,True,21.0,11.0,2024-10-17 19:00:00,True,1,4,False,False,0.5,1.0,1,4,8.0,25.25,2.0,1.0
2024-10-17 23:00:00+00:00,2024-10-17 19:00:00-04:00,2024-10-17,Florida Panthers,Vancouver Canucks,2,3,2 - 3,2024-2025,1.0,True,27.0,20.0,2024-10-17 19:00:00,False,3,0,False,False,1.0,0.0,2,0,20.8,22.0,2.0,2.0
2024-10-17 23:00:00+00:00,2024-10-17 19:00:00-04:00,2024-10-17,Ottawa Senators,New Jersey Devils,1,3,1 - 3,2024-2025,1.0,True,14.0,7.0,2024-10-17 19:00:00,False,2,4,False,False,1.0,0.6666666666666666,1,0,19.5,22.6,3.0,2.0
2024-10-17 23:00:00+00:00,2024-10-17 19:00:00-04:00,2024-10-17,Tampa Bay Lightning,Vegas Golden Knights,4,3,4 - 3,2024-2025,1.0,True,18.0,9.0,2024-10-17 19:00:00,True,2,3,False,False,1.0,0.0,2,0,15.0,18.25,2.0,2.0
2024-10-17 23:30:00+00:00,2024-10-17 19:30:00-04:00,2024-10-17,Detroit Red Wings,New York Rangers,2,5,2 - 5,2024-2025,1.0,True,5.0,22.0,2024-10-17 19:30:00,False,1,2,False,False,0.5,1.0,0,1,17.666666666666668,3.5,3.0,3.0
2024-10-18 00:00:00+00:00,2024-10-17 20:00:00-04:00,2024-10-17,St. Louis Blues,New York Islanders,1,0,1 - 0,2024-2025,1.0,True,32.0,25.0,2024-10-17 20:00:00,True,2,1,False,False,0.0,0.5,0,1,21.5,7.0,2.0,2.0
2024-10-18 00:00:00+00:00,2024-10-17 20:00:00-04:00,2024-10-17,Nashville Predators,Edmonton Oilers,2,4,2 - 4,2024-2025,1.0,True,29.0,13.0,2024-10-17 20:00:00,False,0,1,False,False,0.0,0.0,0,1,10.666666666666666,18.75,2.0,1.0
2024-10-18 00:30:00+00:00,2024-10-17 20:30:00-04:00,2024-10-17,Chicago Blackhawks,San Jose Sharks,4,2,4 - 2,2024-2025,1.0,True,23.0,31.0,2024-10-17 20:30:00,True,1,0,False,False,0.0,0.0,0,0,16.666666666666668,20.0,1.0,2.0
2024-10-18 02:00:00+00:00,2024-10-17 22:00:00-04:00,2024-10-17,Seattle Kraken,Philadelphia Flyers,6,4,6 - 4,2024-2025,1.0,True,16.0,15.0,2024-10-17 22:00:00,True,2,1,False,False,0.0,0.3333333333333333,1,0,25.5,22.0,2.0,2.0
2024-10-18 23:00:00+00:00,2024-10-18 19:00:00-04:00,2024-10-18,Pittsburgh Penguins,Carolina Hurricanes,1,4,1 - 4,2024-2025,1.0,True,2.0,10.0,2024-10-18 19:00:00,False,3,1,False,False,0.5,0.0,2,1,20.25,12.5,2.0,3.0
2024-10-19 00:00:00+00:00,2024-10-18 20:00:00-04:00,2024-10-18,Winnipeg Jets,San Jose Sharks,8,3,8 - 3,2024-2025,1.0,True,4.0,31.0,2024-10-18 20:00:00,True,3,0,False,False,1.0,0.0,3,0,22.0,20.75,5.0,0.0
2024-10-19 01:00:00+00:00,2024-10-18 21:00:00-04:00,2024-10-18,Colorado Avalanche,Anaheim Ducks,4,3,4 - 3,2024-2025,1.0,True,3.0,17.0,2024-10-18 21:00:00,True,0,2,False,False,0.0,0.5,0,1,19.25,20.0,1.0,1.0
2024-10-19 17:00:00+00:00,2024-10-19 13:00:00-04:00,2024-10-19,Ottawa Senators,Tampa Bay Lightning,5,4,5 - 4,2024-2025,1.0,True,14.0,18.0,2024-10-19 13:00:00,True,2,3,False,False,0.6666666666666666,1.0,0,3,15.333333333333334,13.0,1.0,1.0
2024-10-19 18:00:00+00:00,2024-10-19 14:00:00-04:00,2024-10-19,Nashville Predators,Detroit Red Wings,2,5,2 - 5,2024-2025,1.0,True,29.0,5.0,2024-10-19 14:00:00,False,0,1,False,False,0.0,0.0,0,0,11.25,18.75,1.0,1.0
